"","numemp","asset","RBCT2","rbc1rwaj","rbcrwaj"
"27223",46,118895,1135.22,14.530703913256,15.7824527140153
"14200",30,77538,445.15,28.6912587694883,29.9523087143183
"19591",16,27538,210.61,14.300911393218,15.5532668811704
"15880",16,38899,296.13,16.952035208139,18.220674628454
"187",18,36386,224.58,21.9002017256263,23.1558431102424
"17459",4,14729,83,63.4410495729506,64.6590942443721
"21606",78,218510,3123.2,9.39926014120583,11.1144672269794
"15486",43,118550,196,53.0178946193749,53.7234559546137
"8232",39,71221,597.55,14.2689341601966,15.5189563867653
"23510",41,113219,825.9,15.7637604903405,17.016458439823
"9661",7,17245,144.14,14.1938723201056,15.4591195410209
"13960",32,50003,326.98,25.7744617561783,27.0291488940427
"2448",20,33902,154.76,59.6616552928955,60.9156601513946
"9268",30,52700,410,11.1947260401766,12.303382483769
"5676",89,269220,312,29.9489493019401,30.4131818229161
"24506",44,88746,843,9.89605601425898,11.0662587383466
"15227",8,18388,147,15.6920028018383,16.9477047135804
"15228",17,39368,281,17.9454790518464,18.9369614768501
"15935",13,13875,97.46,16.4334789453382,17.7035874766725
"14023",30,34491,253,11.4589962241738,12.5323490730134
"11526",28,54993,449.91,13.6002372926096,14.8556502512305
"16327",6,25226,248,10.6884341645999,11.9411428946664
"9245",63,102822,455,34.8738934186039,35.8095394770664
"90384",36,113114,674.34,25.7106321891528,26.9665327838962
"12258",50,95998,382,18.6375480828887,19.5855565206601
"11088",17,42941,311.99,22.5909446024295,23.8428360423073
"26845",21,40600,151,22.2864459484178,23.3912566306932
"13951",15,18011,109.02,16.0821916531095,17.3526847937051
"18478",20,41076,220.82,26.9965438988264,28.2468326621944
"9797",10,14887,116.63,18.1431006030072,19.4018928833931
"15545",12,41437,367.54,17.4465230596037,18.7018666550083
"2300",15,25557,142.82,20.6855119094952,21.9362760123377
"15565",50,146627,453,40.7610410668945,41.860657050893
"9507",47,155446,1000,19.2967200809839,20.4862602166628
"9956",6,6876,37.96,24.5718097930552,25.825500518518
