"","numemp","asset","RBCT2"
"28489",579,2093961,19585
"10374",30,77569,723
"19274",6,20755,173
"17514",283,757570,6521
"11971",126,459581,3688
"30878",2,17479,239
"20215",22,83091,325
"851",31,81342,580
"8124",25,70181,478
"1252",142,442282,4892
"2324",8,10380,28
"90148",37,120768,1559
"34395",44,279911,1460
"10475",27,77784,346
"21495",80,216851,1400
"22205",4,10715,80
"17621",15,36305,255
"8314",23,64084,541
"6962",102,357004,2486
"17749",113,268912,4479
"16330",7,23619,205
"29330",30,123647,1615
"22984",22,369712,2723
"34872",14,26615,187
"34052",16,63328,616
"15169",94,180723,1419
"23342",28,299560,2072
"35066",12,58800,491
"33806",41,166174,921
"32251",19,128416,1057
"35462",20,35445,303
"15585",24,53804,508
"29712",92,499429,4965
"90311",68,206263,853
"31698",798,4021322,87229
"29506",8,77242,97
"18127",18,38345,323
"32527",22,64832,211
"35363",9,28312,126
"1092",30,55527,326
"13060",297,830782,7721
"35541",29,94664,320
"34574",23,36742,222
"35431",11,24524,84
"34780",4,74753,930
"17792",54,97835,752
"35051",13,38415,235
"57131",15,37473,262
"34242",28,81509,761
"10581",33,111846,795
"35329",87,218448,1390
"32574",272,2352511,20433
"30043",9,46705,241
"30339",11,47096,143
"29024",30,124502,501
"29550",50,214091,982
"11355",19,47651,343
"12208",53,106503,686
"15664",56,102804,711
"34963",4,14512,0
"28421",50,867936,1807
"18086",25,54193,389
"14415",11,43965,370
"1469",14,30801,153
"28035",14,88269,114
"14043",142,285366,2115
"28348",47,282689,1707
"23901",61,410363,910
"30744",13,46525,625
"15362",18,42525,379
"28384",28,141604,1003
"19215",94,118069,651
"10440",43,92756,760
"20484",98,233449,1720
"15697",495,1939972,16184
"33560",8,92126,133
"35281",22,71980,674
"90200",142,426342,1163
"10126",10,37366,284
"10696",50,82275,827
"13774",9,32660,248
"29133",18,60203,524
"27180",49,181450,1580
"23621",276,1020652,22727
"20015",52,587233,0
"21868",314,415034,0
"26601",41,120811,947
"17741",57,193930,375
"29637",50,115686,678
"26658",36,37201,281
"26743",94,183413,1331
"32871",43,166879,1528
"14083",4,8573,57
"23806",49,108890,1073
"35421",8,48930,507
"27897",7,22782,21
"15152",22,53727,462
"27026",22,18151,103
"18402",129,437038,1848
"14078",134,316267,2075
"20670",17,23643,68
"13446",10,17417,170
"13563",6,11712,48
"15714",98,301435,2411
"33481",38,258188,2521
"7411",285,872432,6989
"31090",8,29670,30
"13753",16,118170,740
"17933",165,399634,1722
"17773",18,50082,125
"24123",89,270434,3079
"32347",26,118739,1103
"30075",11,24638,173
"32648",43,3018573,604
"9077",30,76940,458
"35141",27,767282,9616
"34123",180,561029,4625
"57197",18,9002,72
"23472",200,273412,0
"35143",22,91639,689
"5624",13,62952,189
"17825",4,9901,79
"29941",11,158741,741
"29513",9,42359,148
"30052",137,1017093,7280
"10993",12,25560,268
"11235",12,41916,222
"9021",30,84132,337
"22653",13,25091,197
"33552",27,102897,923
"34837",50,160730,977
"57090",18,18821,84
"28390",69,130930,885
"30128",11,37581,89
"16777",34,67194,526
"15684",16,47220,459
"35471",10,21154,198
"20012",38,78100,713
"23092",74,375021,3838
"24080",73,74407,609
"1491",27,50419,380
"28511",311,1305423,9946
"24811",187,1088656,8192
"22295",2242,6249491,5247
"35172",19,42316,359
"27437",42,83953,761
"10443",7,16158,96
"35280",65,100321,198
"26508",53,259769,2264
"28312",48,287385,152
"31443",25,57512,240
"27808",7,30308,248
"9846",14153,53798993,407496
"21098",1199,6172840,56871
"22584",1506,6560727,56332
"29069",72,182572,1185
"35420",10,24377,165
"16386",17,52349,304
"24038",7,13467,51
"11357",8,24582,84
"5792",6,23316,170
"1067",52,161274,1635
"12915",132,411645,3987
"12923",273,1640643,13795
"2055",135,505504,4134
"12917",69,256345,2183
"12198",50,195254,1571
"9343",20,69958,495
"15241",132,492545,3624
"15445",105,403057,3296
